Olivier Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
M. Olivier Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
M Olivier Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
O. Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
M Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
M. Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
O Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
Vidal	Vidal, Olivier	http://vocab.getty.edu/ulan/500245087
Miriam Dalla Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Mme. Miriam Dalla Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Mme Miriam Dalla Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
M. D. Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Mme Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Mme. Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
M D Valle	Valle, Miriam Dalla	http://vocab.getty.edu/ulan/500073604
Jan Hendricksz. Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
M. Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
J H Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
M. Jan Hendricksz. Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
J. H. Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
M Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
M Jan Hendricksz. Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
Vliet	Vliet, Jan Hendricksz.	http://vocab.getty.edu/ulan/500064713
Ishwari Prasad Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
