Marc Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
M. Marc Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
M Marc Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
M. Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
M Quinn	Quinn, Marc	http://vocab.getty.edu/ulan/500057409	http://id.loc.gov/authorities/names/no98128088
Lorenzo de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M De Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L. de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M. Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M Lorenzo de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
De Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M. de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M. Lorenzo de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L. Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L De Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
L. De Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
de Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
M. De Quirós	Quirós, Lorenzo de	http://vocab.getty.edu/ulan/500037914
Querol Subirats, Agustín	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
M Agustín Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
A Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
M. Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Agustín Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
A. Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
M. Agustín Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
M Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Querol y Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Agustín Querol Subirats	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Querol Subirats, Agustí	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Querol, Agustí	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Querol, Agustín	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Subirats, Agustí Querol	Querol y Subirats, Agustín	http://vocab.getty.edu/ulan/500037913
Patrick Quinn	Quinn, Patrick	http://vocab.getty.edu/ulan/500073537
P. Quinn	Quinn, Patrick	http://vocab.getty.edu/ulan/500073537
P Quinn	Quinn, Patrick	http://vocab.getty.edu/ulan/500073537
M Patrick Quinn	Quinn, Patrick	http://vocab.getty.edu/ulan/500073537
M. Patrick Quinn	Quinn, Patrick	http://vocab.getty.edu/ulan/500073537
