Pia, Maria	Minelli, Maria Pia	http://datos.bne.es/resource/XX984983	http://viaf.org/viaf/44896679	http://d-nb.info/gnd/110285794
Muñoz	Muñoz	http://datos.bne.es/resource/XX1043339
Mates, Julian	Mates, Julian	http://datos.bne.es/resource/XX851151	http://viaf.org/viaf/28486068
McClelland, W. D.	McClelland, W. D.	http://datos.bne.es/resource/XX1128051	http://viaf.org/viaf/26137480
MacClelland, W. D.	McClelland, W. D.	http://datos.bne.es/resource/XX1128051	http://viaf.org/viaf/26137480
Martínez, Juan	Martínez, Juan	http://datos.bne.es/resource/XX1020711
Meccia, Gianni	Meccia, Gianni	http://datos.bne.es/resource/XX1068400	http://dbpedia.org/resource/Gianni_Meccia	http://viaf.org/viaf/79735632	http://d-nb.info/gnd/134696786
Meccia	Meccia, Gianni	http://datos.bne.es/resource/XX1068400	http://dbpedia.org/resource/Gianni_Meccia	http://viaf.org/viaf/79735632	http://d-nb.info/gnd/134696786
Morcillo y Quevedo, Juan María	Morcillo y Quevedo, Juan María	http://datos.bne.es/resource/XX1695170
J.M.M.Q.	Morcillo y Quevedo, Juan María	http://datos.bne.es/resource/XX1695170
Martínez López	Martínez López	http://datos.bne.es/resource/XX1195778
Martínez Gil, Chucho	Martínez Gil, Chucho	http://datos.bne.es/resource/XX845879	http://viaf.org/viaf/87672241
Martínez Gil, Jesús	Martínez Gil, Chucho	http://datos.bne.es/resource/XX845879	http://viaf.org/viaf/87672241
Martínez, Chuco	Martínez Gil, Chucho	http://datos.bne.es/resource/XX845879	http://viaf.org/viaf/87672241
Bojalil Gil, Jesús	Martínez Gil, Chucho	http://datos.bne.es/resource/XX845879	http://viaf.org/viaf/87672241
Meno, Albert	Meno, Albert	http://datos.bne.es/resource/XX1692318
Menniti, Pietro	Menniti, Pietro	http://datos.bne.es/resource/XX1692316
Mennius, Octavianus	Mennius, Octavianus	http://datos.bne.es/resource/XX1692317
McKendrick, Melveena	McKendrick, Melveena	http://datos.bne.es/resource/XX963308	http://viaf.org/viaf/2509843	http://d-nb.info/gnd/124237371
Marks, Claude	Marks, Claude	http://datos.bne.es/resource/XX841538	http://viaf.org/viaf/45702833
Mentzer, Balthasar	Mentzer, Balthasar	http://datos.bne.es/resource/XX1692322
Montalbán, Juan de	Montalbán, Juan de	http://datos.bne.es/resource/XX1369997	http://viaf.org/viaf/87134799
Mensinck, Theodoricus	Mensinck, Theodoricus	http://datos.bne.es/resource/XX1692321
Milhaud, Darius	Milhaud, Darius	http://datos.bne.es/resource/XX891459	http://viaf.org/viaf/42026090	http://libris.kb.se/resource/auth/77052	http://d-nb.info/gnd/118582453	http://www.idref.fr/027029549/id	http://dbpedia.org/resource/Darius_Milhaud
Machín, Antonio	Machín, Antonio	http://datos.bne.es/resource/XX874025	http://viaf.org/viaf/122322365	http://dbpedia.org/resource/Antonio_Mach%C3%ADn
Lugo Machín, Antonio	Machín, Antonio	http://datos.bne.es/resource/XX874025	http://viaf.org/viaf/122322365	http://dbpedia.org/resource/Antonio_Mach%C3%ADn
Lugo Machín, Antonio Abad	Machín, Antonio	http://datos.bne.es/resource/XX874025	http://viaf.org/viaf/122322365	http://dbpedia.org/resource/Antonio_Mach%C3%ADn
Manso	Manso	http://datos.bne.es/resource/XX884017
Menor, Alonso	Menor, Alonso	http://datos.bne.es/resource/XX1692320
Montalbán, Robustiano	Montalbán, Robustiano	http://datos.bne.es/resource/XX1369999
M., J.	M., J.	http://datos.bne.es/resource/XX1755837
J. M.	M., J.	http://datos.bne.es/resource/XX1755837
Moreau de Beaumont, Jean-Louis	Moreau de Beaumont, Jean Louis	http://datos.bne.es/resource/XX1695179
Menzies, John	Menzies, John	http://datos.bne.es/resource/XX1692325
Mayall, John	Mayall, John	http://datos.bne.es/resource/XX864773	http://viaf.org/viaf/19866198	http://d-nb.info/gnd/129382922	http://dbpedia.org/resource/John_Mayall
Menzies	Menzies	http://datos.bne.es/resource/XX1692324
Mayer, Tobias	Mayer, Tobias	http://datos.bne.es/resource/XX1500336
Menudier, Jean	Menudier, Jean	http://datos.bne.es/resource/XX1692323
Moreau, Henri	Moreau, Henri	http://datos.bne.es/resource/XX1695177	http://viaf.org/viaf/169271181
Moreau, Jacob Nicolas	Moreau, Jacob Nicolas	http://datos.bne.es/resource/XX1695178
Manuni, Muhammad al-	Manuni, Muhammad al	http://datos.bne.es/resource/XX930826	http://viaf.org/viaf/7666745	http://d-nb.info/gnd/103483446	http://viaf.org/viaf/100228671
Morckens, Michael	Morckens, Michael	http://datos.bne.es/resource/XX1695171
