A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M William G. York	York, William G.	http://vocab.getty.edu/ulan/500182824
Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M. Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M. Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
Clifton Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
M. Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
M. Clifton Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
M Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
M Clifton Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
C Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
C. Yap	Yap, Clifton	http://vocab.getty.edu/ulan/500233252
William Gay Yorke, Jr.	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
William Gay. Jr. Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
W. G. J. Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
M Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
W G J Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
M. Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
M. William Gay. Jr. Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
M William Gay. Jr. Yorke	Yorke, William Gay. Jr.	http://vocab.getty.edu/ulan/500182820
Y[arrington?]	Yarrington	http://vocab.getty.edu/ulan/500370057
M. Yarrington	Yarrington	http://vocab.getty.edu/ulan/500370057
Yarrington	Yarrington	http://vocab.getty.edu/ulan/500370057
M Yarrington	Yarrington	http://vocab.getty.edu/ulan/500370057
Richard Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
M Richard Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
R Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
M. Richard Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
R. Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
M. Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
M Yarnall	Yarnall, Richard	http://vocab.getty.edu/ulan/500223697
Yong Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
Y Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
M Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
Y. Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
M. Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
M. Yong Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
M Yong Yang	Yang, Yong	http://vocab.getty.edu/ulan/500339644	http://id.loc.gov/authorities/names/no2005089552
Yatmen	Yatman	http://vocab.getty.edu/ulan/500370061
Yatman	Yatman	http://vocab.getty.edu/ulan/500370061
M. Yatman	Yatman	http://vocab.getty.edu/ulan/500370061
M Yatman	Yatman	http://vocab.getty.edu/ulan/500370061
Mrs. (Dublin) Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M. Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M D Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M Mrs. (Dublin) Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M. D. Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
M. Mrs. (Dublin) Yeates	Yeates, Mrs. (Dublin)	http://vocab.getty.edu/ulan/500370062
Peter Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
M Peter Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
M. Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
M. Peter Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
P. Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
M Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
P Yeadon	Yeadon, Peter	http://vocab.getty.edu/ulan/500248503
Yeoman	Yeomans	http://vocab.getty.edu/ulan/500370065
M. Yeomans	Yeomans	http://vocab.getty.edu/ulan/500370065
M Yeomans	Yeomans	http://vocab.getty.edu/ulan/500370065
Yeomans	Yeomans	http://vocab.getty.edu/ulan/500370065
Jack Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
M Jack Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
M. Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
J Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
M Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
M. Jack Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
J. Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
Yates	Yates, Jack	http://vocab.getty.edu/ulan/500086569
George Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
G Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
M. Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
G. Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
M George Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
