P. Y. Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
M. Pierre Yves Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
M. Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
M Pierre Yves Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
P Y Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
M Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
Pierre Yves Quiviger	Quiviger, Pierre Yves (---)	http://data.bnf.fr/ark:/12148/cb155554889#foaf:Person	http://www.idref.fr/079045804
Elias Kattar	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
Ilyās al Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
M. Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
M Ilyās al Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
M Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
I. Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
M. Ilyās al Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
I Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
Ilyās al-Qaṭṭār	Qaṭṭār, Ilyās al (---)	http://data.bnf.fr/ark:/12148/cb12987340d#foaf:Person
Abū Alī Moḥammad al Mostanīr Qoṭrob	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M M A B Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M. Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M. M. A. B. Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M. Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī Quṭrub	Quṭrub, Muḥammad ibn al Mustanīr ibn Aḥmad al Baṣrī	http://data.bnf.fr/ark:/12148/cb10740575g#foaf:Person
M. Joaquín F. Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
M Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
