M. Roland Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
Judah ben Saul ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
 Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
 Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
. Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
M Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
M  Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
M. Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
M.  Yehudah ben Saül ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
Yehudah ben Saül Ibn Tibbon	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
Jehudah ibn Tibbon ben Saül	Yehudah ben Saül ibn Tibbon, (1120-1190)	http://data.bnf.fr/ark:/12148/cb13516937x#foaf:Person	http://www.idref.fr/07395022X	http://www.idref.fr/139009078
Georgiana Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
Georgie Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
