M. Walter Friedrich Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
A Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
A. Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M. Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M. Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
Umberto Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
U Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
U. Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
M Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
M Umberto Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
M. Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
M. Umberto Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
Lucy Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
L Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
L. Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Mme Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Mme Lucy Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Mme. Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Mme. Lucy Osburn	Osburn, Lucy (1835-1891)	http://data.bnf.fr/ark:/12148/cb155970217#foaf:Person
Louis Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
L Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
L. Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
M Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
M Louis Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
M. Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
M. Louis Olivier	Olivier, Louis (1854-1910)	http://data.bnf.fr/ark:/12148/cb12574057p#foaf:Person	http://www.idref.fr/035059060
Cesar Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
Cesare Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
C Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
C. Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
M Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
M Cesare Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
