M. Jacques Esprinchard	Esprinchard, Jacques (1573-1604)	http://data.bnf.fr/ark:/12148/cb158989115#foaf:Person	http://www.idref.fr/061113816
Hans Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
H Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
H. Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
M Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
M Hans Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
M. Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
M. Hans Engelmann	Engelmann, Hans (1872-1914)	http://data.bnf.fr/ark:/12148/cb137945229#foaf:Person
Georg Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
G Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
G. Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
M Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
M Georg Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
M. Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
M. Georg Ehrlich	Ehrlich, Georg (1897-1966)	http://data.bnf.fr/ark:/12148/cb149733604#foaf:Person
Henry David Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
H D Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
H. D. Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
M Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
M Henry David Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
M. Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
M. Henry David Erskine	Erskine, Henry David (1838-1921)	http://data.bnf.fr/ark:/12148/cb149769448#foaf:Person
Louis Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
