Xuan jue Shi	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Young-kia Hiuan-kio	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yung-chia Hsuan-chio	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
永嘉禪師	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yong-kia Siuan kiue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yung-chia Hsüan-chüeh	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
永嘉玄覺	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yong jia Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Xuanjue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
玄覺禪師	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Tiao Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
T Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
T. Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
M Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
M Tiao Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
M. Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
M. Tiao Xie	Xie, Tiao	http://data.bnf.fr/ark:/12148/cb14496002d#foaf:Person
Ching-ch'ü Hsia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
jing qu Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
 Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
. Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
M Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
M jing qu Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
M. Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
M. jing qu Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Erh-ming Hsia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Erming Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Jingqu Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Maoxiu Xia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
敬渠 夏	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Mao-hsiu Hsia	Xia, jing qu (1705-1787)	http://data.bnf.fr/ark:/12148/cb145186351#foaf:Person
Chuan-ho	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
 Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
 Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
. Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
M Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
M  Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
M. Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
M.  Xugu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Hsi-Ku	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Tzu-yang-shan-min	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Hsu-pai Chu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Huai-jen Chu	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Hsu-ku	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Monk Hsi Ku	Xugu, (1823-1896)	http://data.bnf.fr/ark:/12148/cb131725691#foaf:Person
Eduardo Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
E Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
E. Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
M Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
M Eduardo Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
M. Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
M. Eduardo Ximenes	Ximenes, Eduardo (1852-1932)	http://data.bnf.fr/ark:/12148/cb104244339#foaf:Person	http://www.idref.fr/168561034
Xenofonte	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
 Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
 Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
. Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
M Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
M  Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
M. Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
M.  Xénophon	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
