J. Von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M. Von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
J von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M Von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
J Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M. von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
J Von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
Jakob von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
J. von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M. Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M. Jakob von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
J. Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
Von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
M Wilhelm Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
Wilhelm Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
W. Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
M Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
M. Wilhelm Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
M. Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
W Uhde	Uhde, Wilhelm (1874-1947)	http://data.bnf.fr/ark:/12148/cb11927314g#foaf:Person	http://dbpedia.org/resource/Wilhelm_Uhde	http://www.idref.fr/162131429
Safiyu-d-Din al- Urmawi	Urmawī, ʿAbd al Muʾmin ibn Yūsuf ibn Fāẖir al H̱uwayī al (1216-1294)	http://data.bnf.fr/ark:/12148/cb144833269#foaf:Person	http://dbpedia.org/resource/Ṣafī_al-Dīn_al-Urmawī	http://www.idref.fr/067409377
