Aḥmad ibn Fāris ibn Zakarīyā  al-Qazwīnī al-Rāzī Abū al-Ḥusayn	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
ʿAbd Allah ibn Muslim ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
M. ʿAbd Allâh ibn Muslim Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
M Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
M. Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
ʿAbd Allâh ibn Muslim Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
A A M Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
A. A. M. Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
M ʿAbd Allâh ibn Muslim Ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
ʿAbdallah ibn Muslim Ibn Qutaiba	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Abu Mohammad Abdallah ibn Moslim Ibn Qotayba al-Dīnawarī	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
ʿAbd Allah ibn Muslim al-Dīnawārī	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Abdallah ibn Muslim Ibn Coteiba	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Ibn Qutayba	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Abū Muḥammad ʿAbd Allah ibn Muslim ibn Qutaybaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
ʿAbd Allah ibn Muslim Dīnawārī	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
ʿAbd Allah ibn Muslim Ibn Kutaibaẗ	Ibn Qutaybaẗ, ʿAbd Allâh ibn Muslim	http://data.bnf.fr/ark:/12148/cb12551842q#foaf:Person	http://www.idref.fr/03480286X	http://dbpedia.org/resource/Ibn_Qoutayba
Muḥammad ibn Dāniyāl ibn Yūsuf al-H̱uzāʿī Šams al-Dīn Ibn Dāniyāl	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
M Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
M. Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
Muḥammad Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
M. Muḥammad Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
M Muḥammad Ibn Dāniyāl al H̱uzāʿī	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
Mouhammad Ibn Dâniyâl	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
Mouhammad al-Khouzaʼî Chams al-Dîne Ibn-Dâniyâl	Ibn Dāniyāl al H̱uzāʿī, Muḥammad (1248-1310)	http://data.bnf.fr/ark:/12148/cb131799465#foaf:Person	http://www.idref.fr/035296410
M Ivan Fedorov	Ivan Fedorov (1510-1583)	http://data.bnf.fr/ark:/12148/cb11996257p#foaf:Person	http://www.idref.fr/028049217
M. Ivan Fedorov	Ivan Fedorov (1510-1583)	http://data.bnf.fr/ark:/12148/cb11996257p#foaf:Person	http://www.idref.fr/028049217
Ivan Fedorov	Ivan Fedorov (1510-1583)	http://data.bnf.fr/ark:/12148/cb11996257p#foaf:Person	http://www.idref.fr/028049217
Iskandar Muda	Iskandar Muda (1583-1636)	http://data.bnf.fr/ark:/12148/cb12555902q#foaf:Person	http://www.idref.fr/130413372
M. Iskandar Muda	Iskandar Muda (1583-1636)	http://data.bnf.fr/ark:/12148/cb12555902q#foaf:Person	http://www.idref.fr/130413372
M Iskandar Muda	Iskandar Muda (1583-1636)	http://data.bnf.fr/ark:/12148/cb12555902q#foaf:Person	http://www.idref.fr/130413372
Moḥammad ibn al Hādjdj Youssof ibn Isā Aṭfich al Sidjani	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M Muḥammad ibn Yūsuf Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M Y Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M. Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
Muḥammad ibn Yūsuf Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M. Y. Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M. Muḥammad ibn Yūsuf Iṭfīš	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
