Badrddine Aini	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M. A. ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M. ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M. Maḥmūd ibn Aḥmad al ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
Maḥmūd ibn Aḥmad al ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M Maḥmūd ibn Aḥmad al ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M A ʿAynī	ʿAynī, Maḥmūd ibn Aḥmad al (1361-1451)	http://data.bnf.fr/ark:/12148/cb146288725#foaf:Person	http://dbpedia.org/resource/Badruddine_Ayni	http://www.idref.fr/149131828
M. Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
Z. Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
Z Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
M Zdzisław Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
Zdzisław Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
M. Zdzisław Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
M Żygulski	Żygulski, Zdzisław (1888-1975)	http://data.bnf.fr/ark:/12148/cb106383655#foaf:Person
Abdul Latif Shah	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
M Shāh ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
S ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
S. ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Shāh ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
M. Shāh ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
M. ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
M ʿAbd al Latīf	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Abd Al Latif Schah	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Abd Ul-Latîf Bhitâi	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Abdula Latipha Bhiṭāi	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Abd-Ul-Latīf Shāh	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Shah Abdul Latif	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
ʿAbd al-Latīf Shāh	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
S̲h̲āh ʿAbdul Latif Bhiṭāī	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
Abdul Latīf Shāh Bhatāī̄	ʿAbd al Latīf, Shāh (1689-1752)	http://data.bnf.fr/ark:/12148/cb10461371p#foaf:Person	http://www.idref.fr/080298249
M Anders Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
A. Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
A Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
Anders Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
M. Anders Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
M Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
M. Österlind	Österlind, Anders (1887-1960)	http://data.bnf.fr/ark:/12148/cb135575178#foaf:Person	http://www.idref.fr/052485544
Serge Tchakhotine	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
S S Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
Sergej Stepanovič Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
S. S. Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
M. Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
M. Sergej Stepanovič Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
M Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
M Sergej Stepanovič Čahotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
Sergeĭ Stepanovitch Tchakhotin	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
Sergueï Stepanovitch Tchakhotine	Čahotin, Sergej Stepanovič (1883-1973)	http://data.bnf.fr/ark:/12148/cb12294659x#foaf:Person	http://dbpedia.org/resource/Serge_Tchakhotine	http://www.idref.fr/031797474
Louis-Alexandre Guyot	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
M. Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
M Louis Alexandre Guyot Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
M. Louis Alexandre Guyot Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
L. A. G. Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
L A G Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
Louis Alexandre Guyot Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
M Étalleville	Étalleville, Louis Alexandre Guyot (1752-1828)	http://data.bnf.fr/ark:/12148/cb13596841j#foaf:Person
Constantin Chilovski	Šilovskij, Konstantin Stepanovič (1848-1893)	http://data.bnf.fr/ark:/12148/cb13336792k#foaf:Person	http://www.idref.fr/069370583
Šilovskij	Šilovskij, Konstantin Stepanovič (1848-1893)	http://data.bnf.fr/ark:/12148/cb13336792k#foaf:Person	http://www.idref.fr/069370583
M. Konstantin Stepanovič Šilovskij	Šilovskij, Konstantin Stepanovič (1848-1893)	http://data.bnf.fr/ark:/12148/cb13336792k#foaf:Person	http://www.idref.fr/069370583
M Konstantin Stepanovič Šilovskij	Šilovskij, Konstantin Stepanovič (1848-1893)	http://data.bnf.fr/ark:/12148/cb13336792k#foaf:Person	http://www.idref.fr/069370583
M Šilovskij	Šilovskij, Konstantin Stepanovič (1848-1893)	http://data.bnf.fr/ark:/12148/cb13336792k#foaf:Person	http://www.idref.fr/069370583
