Bryan Bullington	Bryan Bullington	http://fr.dbpedia.org/resource/Bryan_Bullington	http://dbpedia.org/resource/Bryan_Bullington
Boris Avroukh	Boris Avroukh	http://fr.dbpedia.org/resource/Boris_Avroukh	http://dbpedia.org/resource/Boris_Avrukh
Boris Avrukh	Boris Avroukh	http://fr.dbpedia.org/resource/Boris_Avroukh	http://dbpedia.org/resource/Boris_Avrukh
Bernard Natan	Bernard Natan	http://fr.dbpedia.org/resource/Bernard_Natan	http://dbpedia.org/resource/Bernard_Natan
Bud Grant	Bud Grant	http://fr.dbpedia.org/resource/Bud_Grant	http://dbpedia.org/resource/Bud_Grant
Bart Oegema	Bart Oegema	http://fr.dbpedia.org/resource/Bart_Oegema
Bismark Acosta Evans	Bismark Acosta Evans	http://fr.dbpedia.org/resource/Bismark_Acosta_Evans	http://dbpedia.org/resource/Bismark_Acosta
Bowser	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Baby Bowser	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Bowser Koopa	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Bowser Skelet	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Mini bowser	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Skelebowser	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Mini Bowser	Bowser	http://fr.dbpedia.org/resource/Bowser	http://dbpedia.org/resource/Bowser_(character)
Bruno Gerber	Bruno Gerber	http://fr.dbpedia.org/resource/Bruno_Gerber	http://dbpedia.org/resource/Bruno_Gerber
Bibi Osterwald	Bibi Osterwald	http://fr.dbpedia.org/resource/Bibi_Osterwald	http://dbpedia.org/resource/Bibi_Osterwald
Bob Turner	Bob Turner	http://fr.dbpedia.org/resource/Bob_Turner	http://dbpedia.org/resource/Bob_Turner_(ice_hockey)
Bertrand de Cosnac	Bertrand de Cosnac	http://fr.dbpedia.org/resource/Bertrand_de_Cosnac
Billy Currington	Billy Currington	http://fr.dbpedia.org/resource/Billy_Currington	http://dbpedia.org/resource/Billy_Currington
Betsy Brandt	Betsy Brandt	http://fr.dbpedia.org/resource/Betsy_Brandt	http://dbpedia.org/resource/Betsy_Brandt
Benjamin Lett	Benjamin Lett	http://fr.dbpedia.org/resource/Benjamin_Lett	http://dbpedia.org/resource/Benjamin_Lett
Billy Sharp	Billy Sharp	http://fr.dbpedia.org/resource/Billy_Sharp	http://dbpedia.org/resource/Billy_Sharp
Baby Bonnie Hood	Baby Bonnie Hood	http://fr.dbpedia.org/resource/Baby_Bonnie_Hood
Benoît Zwierzchiewski	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Benoit Zwierzchiewski	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Benoit Z	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Benoit Zwierzchlewski	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Benoît Z	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Benoît Zwierzchlewski	Benoît Zwierzchiewski	http://fr.dbpedia.org/resource/Benoît_Zwierzchiewski	http://dbpedia.org/resource/Benoît_Zwierzchiewski
Bernard Manceau	Bernard Manceau	http://fr.dbpedia.org/resource/Bernard_Manceau
Brett Weston	Brett Weston	http://fr.dbpedia.org/resource/Brett_Weston	http://dbpedia.org/resource/Brett_Weston
Basto	Basto	http://fr.dbpedia.org/resource/Basto	http://dbpedia.org/resource/Basto_(musician)
Lazy Jay	Basto	http://fr.dbpedia.org/resource/Basto	http://dbpedia.org/resource/Basto_(musician)
Bill Murray	Bill Murray	http://fr.dbpedia.org/resource/Bill_Murray	http://dbpedia.org/resource/Bill_Murray
Benjamin Dolbecq	Benjamin Dolbecq	http://fr.dbpedia.org/resource/Benjamin_Dolbecq
Butterfly McQueen	Butterfly McQueen	http://fr.dbpedia.org/resource/Butterfly_McQueen	http://dbpedia.org/resource/Butterfly_McQueen
Bimbo Coles	Bimbo Coles	http://fr.dbpedia.org/resource/Bimbo_Coles	http://dbpedia.org/resource/Bimbo_Coles
Boris Kramarenko	Boris Kramarenko	http://fr.dbpedia.org/resource/Boris_Kramarenko	http://dbpedia.org/resource/Boris_Kramarenko
Brandon Phillips	Brandon Phillips	http://fr.dbpedia.org/resource/Brandon_Phillips	http://dbpedia.org/resource/Brandon_Phillips
Brad Tapper	Brad Tapper	http://fr.dbpedia.org/resource/Brad_Tapper	http://dbpedia.org/resource/Brad_Tapper
Bernard Bartzen	Bernard Bartzen	http://fr.dbpedia.org/resource/Bernard_Bartzen	http://dbpedia.org/resource/Bernard_Bartzen
Brad Harris	Brad Harris	http://fr.dbpedia.org/resource/Brad_Harris	http://dbpedia.org/resource/Brad_Harris
Barbara Blatter	Barbara Blatter	http://fr.dbpedia.org/resource/Barbara_Blatter	http://dbpedia.org/resource/Barbara_Blatter
Brian Bedford	Brian Bedford	http://fr.dbpedia.org/resource/Brian_Bedford	http://dbpedia.org/resource/Brian_Bedford
Bertrand Pancher	Bertrand Pancher	http://fr.dbpedia.org/resource/Bertrand_Pancher	http://dbpedia.org/resource/Bertrand_Pancher
Britt Nicole	Britt Nicole	http://fr.dbpedia.org/resource/Britt_Nicole	http://dbpedia.org/resource/Britt_Nicole
Bobby Fish	Bobby Fish	http://fr.dbpedia.org/resource/Bobby_Fish	http://dbpedia.org/resource/Bobby_Fish
Blythe Hartley	Blythe Hartley	http://fr.dbpedia.org/resource/Blythe_Hartley	http://dbpedia.org/resource/Blythe_Hartley
Bill Eckersley	Bill Eckersley	http://fr.dbpedia.org/resource/Bill_Eckersley	http://dbpedia.org/resource/Bill_Eckersley
Betsy Rue	Betsy Rue	http://fr.dbpedia.org/resource/Betsy_Rue	http://dbpedia.org/resource/Betsy_Rue
Bob McCann	Bob McCann	http://fr.dbpedia.org/resource/Bob_McCann	http://dbpedia.org/resource/Bob_McCann
