Patrick Leahy	Patrick Leahy	http://fr.dbpedia.org/resource/Patrick_Leahy	http://dbpedia.org/resource/Patrick_Leahy
Patrick D. Leahy	Patrick Leahy	http://fr.dbpedia.org/resource/Patrick_Leahy	http://dbpedia.org/resource/Patrick_Leahy
Petr Svoboda	Petr Svoboda	http://fr.dbpedia.org/resource/Petr_Svoboda	http://dbpedia.org/resource/Petr_Svoboda
Philippe Spiteri	Philippe Spiteri	http://fr.dbpedia.org/resource/Philippe_Spiteri
Philippe Spitteri	Philippe Spiteri	http://fr.dbpedia.org/resource/Philippe_Spiteri
Pierre-Emerick Aubameyang	Pierre Emerick Aubameyang	http://fr.dbpedia.org/resource/Pierre-Emerick_Aubameyang	http://dbpedia.org/resource/Pierre-Emerick_Aubameyang
Pierre-Emerik Aubameyang	Pierre Emerick Aubameyang	http://fr.dbpedia.org/resource/Pierre-Emerick_Aubameyang	http://dbpedia.org/resource/Pierre-Emerick_Aubameyang
Pierre Salvadori	Pierre Salvadori	http://fr.dbpedia.org/resource/Pierre_Salvadori	http://dbpedia.org/resource/Pierre_Salvadori
Pierre Leclerc d'Ostein	Pierre Leclerc d' Ostein	http://fr.dbpedia.org/resource/Pierre_Leclerc_d'Ostein
Paulius Jankūnas	Paulius Jankūnas	http://fr.dbpedia.org/resource/Paulius_Jankūnas	http://dbpedia.org/resource/Paulius_Jankūnas
Paulius Jankunas	Paulius Jankūnas	http://fr.dbpedia.org/resource/Paulius_Jankūnas	http://dbpedia.org/resource/Paulius_Jankūnas
Paola Tiziana Cruciani	Paola Tiziana Cruciani	http://fr.dbpedia.org/resource/Paola_Tiziana_Cruciani	http://dbpedia.org/resource/Paola_Tiziana_Cruciani
Piotr Brożek	Piotr Brożek	http://fr.dbpedia.org/resource/Piotr_Brożek	http://dbpedia.org/resource/Piotr_Brożek
Piotr Brozek	Piotr Brożek	http://fr.dbpedia.org/resource/Piotr_Brożek	http://dbpedia.org/resource/Piotr_Brożek
Paul Müller-Kaempff	Paul Müller Kaempff	http://fr.dbpedia.org/resource/Paul_Müller-Kaempff	http://dbpedia.org/resource/Paul_Müller-Kaempff
Phil Coke	Phil Coke	http://fr.dbpedia.org/resource/Phil_Coke	http://dbpedia.org/resource/Phil_Coke
Pierre-François Brice	Pierre François Brice	http://fr.dbpedia.org/resource/Pierre-François_Brice	http://dbpedia.org/resource/Pierre-François_Brice
Pierre-Francois Brice	Pierre François Brice	http://fr.dbpedia.org/resource/Pierre-François_Brice	http://dbpedia.org/resource/Pierre-François_Brice
Pema Tseden	Pema Tseden	http://fr.dbpedia.org/resource/Pema_Tseden
Wanma Caidan	Pema Tseden	http://fr.dbpedia.org/resource/Pema_Tseden
Paul Mathaux	Paul Mathaux	http://fr.dbpedia.org/resource/Paul_Mathaux
Pierre Noal	Pierre Noal	http://fr.dbpedia.org/resource/Pierre_Noal
Pierre Mamie	Pierre Mamie	http://fr.dbpedia.org/resource/Pierre_Mamie	http://dbpedia.org/resource/Pierre_Mamie
Paweł Franczak	Paweł Franczak	http://fr.dbpedia.org/resource/Paweł_Franczak
Pawel Franczak	Paweł Franczak	http://fr.dbpedia.org/resource/Paweł_Franczak
Papy Djilobodji	Papy Djilobodji	http://fr.dbpedia.org/resource/Papy_Djilobodji	http://dbpedia.org/resource/Papy_Djilobodji
Philippe Verteuil	Philippe Verteuil	http://fr.dbpedia.org/resource/Philippe_Verteuil
Prosper Depredomme	Prosper Depredomme	http://fr.dbpedia.org/resource/Prosper_Depredomme	http://dbpedia.org/resource/Prosper_Depredomme
Pierre de Hongrie	Pierre de Hongrie	http://fr.dbpedia.org/resource/Pierre_de_Hongrie	http://dbpedia.org/resource/Peter,_King_of_Hungary
Pierre de hongrie	Pierre de Hongrie	http://fr.dbpedia.org/resource/Pierre_de_Hongrie	http://dbpedia.org/resource/Peter,_King_of_Hungary
Piotr Zaradny	Piotr Zaradny	http://fr.dbpedia.org/resource/Piotr_Zaradny
