Willem-alexander des pays-bas	Willem Alexander des Pays Bas	http://fr.dbpedia.org/resource/Willem-Alexander_des_Pays-Bas
Willem Alexander	Willem Alexander des Pays Bas	http://fr.dbpedia.org/resource/Willem-Alexander_des_Pays-Bas
Willem IV des Pays-Bas	Willem Alexander des Pays Bas	http://fr.dbpedia.org/resource/Willem-Alexander_des_Pays-Bas
William Barnes (tir sportif)	William Barnes (tir sportif)	http://fr.dbpedia.org/resource/William_Barnes_(tir_sportif)	http://dbpedia.org/resource/William_Barnes_(sport_shooter)
Wan Rong	Wan Rong	http://fr.dbpedia.org/resource/Wan_Rong	http://dbpedia.org/resource/Empress_Wanrong
Waleed Abdullah	Waleed Abdullah	http://fr.dbpedia.org/resource/Waleed_Abdullah	http://dbpedia.org/resource/Waleed_Abdullah
Walled Abdullah Ali	Waleed Abdullah	http://fr.dbpedia.org/resource/Waleed_Abdullah	http://dbpedia.org/resource/Waleed_Abdullah
William Pleydell-Bouverie (5e comte de Radnor)	William Pleydell Bouverie (5e comte de Radnor)	http://fr.dbpedia.org/resource/William_Pleydell-Bouverie_(5e_comte_de_Radnor)	http://dbpedia.org/resource/William_Pleydell-Bouverie,_5th_Earl_of_Radnor
Walter Spanghero	Walter Spanghero	http://fr.dbpedia.org/resource/Walter_Spanghero	http://dbpedia.org/resource/Walter_Spanghero
Wei Yongli	Wei Yongli	http://fr.dbpedia.org/resource/Wei_Yongli	http://dbpedia.org/resource/Wei_Yongli
William Maxwell (écrivain)	William Maxwell (écrivain)	http://fr.dbpedia.org/resource/William_Maxwell_(écrivain)	http://dbpedia.org/resource/William_Keepers_Maxwell,_Jr.
Wayne Ellington	Wayne Ellington	http://fr.dbpedia.org/resource/Wayne_Ellington	http://dbpedia.org/resource/Wayne_Ellington
Willi Oberbeck	Willi Oberbeck	http://fr.dbpedia.org/resource/Willi_Oberbeck	http://dbpedia.org/resource/Willi_Oberbeck
Walter Schuster	Walter Schuster	http://fr.dbpedia.org/resource/Walter_Schuster	http://dbpedia.org/resource/Walter_Schuster
William Elliot Griffis	William Elliot Griffis	http://fr.dbpedia.org/resource/William_Elliot_Griffis	http://dbpedia.org/resource/William_Elliot_Griffis
Willem Dafoe	Willem Dafoe	http://fr.dbpedia.org/resource/Willem_Dafoe	http://dbpedia.org/resource/Willem_Dafoe
Will McIntosh	Will McIntosh	http://fr.dbpedia.org/resource/Will_McIntosh	http://dbpedia.org/resource/Will_McIntosh
William Westmoreland	William Westmoreland	http://fr.dbpedia.org/resource/William_Westmoreland	http://dbpedia.org/resource/William_Westmoreland
William Childs Westmoreland	William Westmoreland	http://fr.dbpedia.org/resource/William_Westmoreland	http://dbpedia.org/resource/William_Westmoreland
Walther Stampfli	Walther Stampfli	http://fr.dbpedia.org/resource/Walther_Stampfli	http://dbpedia.org/resource/Walther_Stampfli
Walter Stampfli	Walther Stampfli	http://fr.dbpedia.org/resource/Walther_Stampfli	http://dbpedia.org/resource/Walther_Stampfli
Walter Weiler	Walter Weiler	http://fr.dbpedia.org/resource/Walter_Weiler	http://dbpedia.org/resource/Walter_Weiler
Werner Sobek	Werner Sobek	http://fr.dbpedia.org/resource/Werner_Sobek	http://dbpedia.org/resource/Werner_Sobek
William Halsted	William Halsted	http://fr.dbpedia.org/resource/William_Halsted	http://dbpedia.org/resource/William_Stewart_Halsted
Wesley Korir	Wesley Korir	http://fr.dbpedia.org/resource/Wesley_Korir	http://dbpedia.org/resource/Wesley_Korir
Wasil Taha	Wasil Taha	http://fr.dbpedia.org/resource/Wasil_Taha	http://dbpedia.org/resource/Wasil_Taha
Walter Abel	Walter Abel	http://fr.dbpedia.org/resource/Walter_Abel	http://dbpedia.org/resource/Walter_Abel
Wayne Connelly	Wayne Connelly	http://fr.dbpedia.org/resource/Wayne_Connelly	http://dbpedia.org/resource/Wayne_Connelly
Werner de Merode (1816-1905)	Werner de Merode (1816 1905)	http://fr.dbpedia.org/resource/Werner_de_Merode_(1816-1905)
Werner de Mérode	Werner de Merode (1816 1905)	http://fr.dbpedia.org/resource/Werner_de_Merode_(1816-1905)
William Bonnet	William Bonnet	http://fr.dbpedia.org/resource/William_Bonnet	http://dbpedia.org/resource/William_Bonnet
Wolfgang Haas	Wolfgang Haas	http://fr.dbpedia.org/resource/Wolfgang_Haas	http://dbpedia.org/resource/Wolfgang_Haas
Willie Anderson (basket-ball)	Willie Anderson (basket ball)	http://fr.dbpedia.org/resource/Willie_Anderson_(basket-ball)	http://dbpedia.org/resource/Willie_Anderson_(basketball)
Willie Anderson	Willie Anderson (basket ball)	http://fr.dbpedia.org/resource/Willie_Anderson_(basket-ball)	http://dbpedia.org/resource/Willie_Anderson_(basketball)
Willy Taofifénua	Willy Taofifénua	http://fr.dbpedia.org/resource/Willy_Taofifénua	http://dbpedia.org/resource/Willy_Taofifénua
Willy Taofifenua	Willy Taofifénua	http://fr.dbpedia.org/resource/Willy_Taofifénua	http://dbpedia.org/resource/Willy_Taofifénua
Wendy Makkena	Wendy Makkena	http://fr.dbpedia.org/resource/Wendy_Makkena	http://dbpedia.org/resource/Wendy_Makkena
William James Mayo	William James Mayo	http://fr.dbpedia.org/resource/William_James_Mayo	http://dbpedia.org/resource/William_James_Mayo
William Karlsson	William Karlsson	http://fr.dbpedia.org/resource/William_Karlsson	http://dbpedia.org/resource/William_Karlsson
William Kyle	William Kyle	http://fr.dbpedia.org/resource/William_Kyle	http://dbpedia.org/resource/Willie_Kyle
William Ryder	William Ryder	http://fr.dbpedia.org/resource/William_Ryder	http://dbpedia.org/resource/William_Ryder_(rugby_union)
Walter Casagrande	Walter Casagrande	http://fr.dbpedia.org/resource/Walter_Casagrande	http://dbpedia.org/resource/Walter_Casagrande
Walter Casagrande Júnior	Walter Casagrande	http://fr.dbpedia.org/resource/Walter_Casagrande	http://dbpedia.org/resource/Walter_Casagrande
William Stratton	William Stratton	http://fr.dbpedia.org/resource/William_Stratton	http://dbpedia.org/resource/William_Stratton
Wayne Primeau	Wayne Primeau	http://fr.dbpedia.org/resource/Wayne_Primeau	http://dbpedia.org/resource/Wayne_Primeau
Willie Young (football américain)	Willie Young (football américain)	http://fr.dbpedia.org/resource/Willie_Young_(football_américain)	http://dbpedia.org/resource/Willie_Young_(defensive_end)
Wojciech Korfanty	Wojciech Korfanty	http://fr.dbpedia.org/resource/Wojciech_Korfanty	http://dbpedia.org/resource/Wojciech_Korfanty
Willem Wauters	Willem Wauters	http://fr.dbpedia.org/resource/Willem_Wauters	http://dbpedia.org/resource/Willem_Wauters
Walter Adams	Walter Adams	http://fr.dbpedia.org/resource/Walter_Adams	http://dbpedia.org/resource/Walter_Adams_(athlete)
Wendy Orlean Williams	Wendy Orlean Williams	http://fr.dbpedia.org/resource/Wendy_Orlean_Williams	http://dbpedia.org/resource/Wendy_O._Williams
Wendy O'Williams	Wendy Orlean Williams	http://fr.dbpedia.org/resource/Wendy_Orlean_Williams	http://dbpedia.org/resource/Wendy_O._Williams
Wendy O. Williams	Wendy Orlean Williams	http://fr.dbpedia.org/resource/Wendy_Orlean_Williams	http://dbpedia.org/resource/Wendy_O._Williams
William Wilberforce	William Wilberforce	http://fr.dbpedia.org/resource/William_Wilberforce	http://dbpedia.org/resource/William_Wilberforce
Werner Delle Karth	Werner Delle Karth	http://fr.dbpedia.org/resource/Werner_Delle_Karth	http://dbpedia.org/resource/Werner_Delle_Karth
Werner Delle-Karth	Werner Delle Karth	http://fr.dbpedia.org/resource/Werner_Delle_Karth	http://dbpedia.org/resource/Werner_Delle_Karth
Walter Ruttmann	Walter Ruttmann	http://fr.dbpedia.org/resource/Walter_Ruttmann	http://dbpedia.org/resource/Walter_Ruttmann
Walther Ruttmann	Walter Ruttmann	http://fr.dbpedia.org/resource/Walter_Ruttmann	http://dbpedia.org/resource/Walter_Ruttmann
Wayne Boden	Wayne Boden	http://fr.dbpedia.org/resource/Wayne_Boden	http://dbpedia.org/resource/Wayne_Boden
Warren Weir	Warren Weir	http://fr.dbpedia.org/resource/Warren_Weir	http://dbpedia.org/resource/Warren_Weir
Walter Ulbricht	Walter Ulbricht	http://fr.dbpedia.org/resource/Walter_Ulbricht	http://dbpedia.org/resource/Walter_Ulbricht
Walter Ernst Paul Ulbricht	Walter Ulbricht	http://fr.dbpedia.org/resource/Walter_Ulbricht	http://dbpedia.org/resource/Walter_Ulbricht
Willie Burton	Willie Burton	http://fr.dbpedia.org/resource/Willie_Burton	http://dbpedia.org/resource/Willie_Burton
Wole Soyinka	Wole Soyinka	http://fr.dbpedia.org/resource/Wole_Soyinka	http://dbpedia.org/resource/Wole_Soyinka
Wilfrid Perraudin	Wilfrid Perraudin	http://fr.dbpedia.org/resource/Wilfrid_Perraudin
Walthère Damery	Walthère Damery	http://fr.dbpedia.org/resource/Walthère_Damery	http://dbpedia.org/resource/Walther_Damery
Wolfgang Sawallisch	Wolfgang Sawallisch	http://fr.dbpedia.org/resource/Wolfgang_Sawallisch	http://dbpedia.org/resource/Wolfgang_Sawallisch
Sawallisch	Wolfgang Sawallisch	http://fr.dbpedia.org/resource/Wolfgang_Sawallisch	http://dbpedia.org/resource/Wolfgang_Sawallisch
William N'Jo Léa	William N' Jo Léa	http://fr.dbpedia.org/resource/William_N'Jo_Léa	http://dbpedia.org/resource/William_N'Jo_Léa
William N'Jo Lea	William N' Jo Léa	http://fr.dbpedia.org/resource/William_N'Jo_Léa	http://dbpedia.org/resource/William_N'Jo_Léa
Wayne Gretzky	Wayne Gretzky	http://fr.dbpedia.org/resource/Wayne_Gretzky	http://dbpedia.org/resource/Wayne_Gretzky
La merveille	Wayne Gretzky	http://fr.dbpedia.org/resource/Wayne_Gretzky	http://dbpedia.org/resource/Wayne_Gretzky
The Great One	Wayne Gretzky	http://fr.dbpedia.org/resource/Wayne_Gretzky	http://dbpedia.org/resource/Wayne_Gretzky
Wayne Douglas Gretzky	Wayne Gretzky	http://fr.dbpedia.org/resource/Wayne_Gretzky	http://dbpedia.org/resource/Wayne_Gretzky
Wiard Ihnen	Wiard Ihnen	http://fr.dbpedia.org/resource/Wiard_Ihnen	http://dbpedia.org/resource/Wiard_Ihnen
Wiard B. Ihnen	Wiard Ihnen	http://fr.dbpedia.org/resource/Wiard_Ihnen	http://dbpedia.org/resource/Wiard_Ihnen
Walter Nowotny	Walter Nowotny	http://fr.dbpedia.org/resource/Walter_Nowotny	http://dbpedia.org/resource/Walter_Nowotny
Wayne Cashman	Wayne Cashman	http://fr.dbpedia.org/resource/Wayne_Cashman	http://dbpedia.org/resource/Wayne_Cashman
Wish Bone	Wish Bone	http://fr.dbpedia.org/resource/Wish_Bone	http://dbpedia.org/resource/Wish_Bone
Wu Shujiao	Wu Shujiao	http://fr.dbpedia.org/resource/Wu_Shujiao	http://dbpedia.org/resource/Wu_Shujiao
Wesley Whitehouse	Wesley Whitehouse	http://fr.dbpedia.org/resource/Wesley_Whitehouse	http://dbpedia.org/resource/Wesley_Whitehouse
Wolfgang Windgassen	Wolfgang Windgassen	http://fr.dbpedia.org/resource/Wolfgang_Windgassen	http://dbpedia.org/resource/Wolfgang_Windgassen
