Ferdinando Galiani	Ferdinando Galiani	http://fr.dbpedia.org/resource/Ferdinando_Galiani	http://dbpedia.org/resource/Ferdinando_Galiani
Ferdinand Galiani	Ferdinando Galiani	http://fr.dbpedia.org/resource/Ferdinando_Galiani	http://dbpedia.org/resource/Ferdinando_Galiani
Galiani	Ferdinando Galiani	http://fr.dbpedia.org/resource/Ferdinando_Galiani	http://dbpedia.org/resource/Ferdinando_Galiani
Félix Régnault	Félix Régnault	http://fr.dbpedia.org/resource/Félix_Régnault
Felix Régnault	Félix Régnault	http://fr.dbpedia.org/resource/Félix_Régnault
Ferguson Findley	Ferguson Findley	http://fr.dbpedia.org/resource/Ferguson_Findley	http://dbpedia.org/resource/Ferguson_Findley
Francesco Imberti	Francesco Imberti	http://fr.dbpedia.org/resource/Francesco_Imberti	http://dbpedia.org/resource/Francesco_Imberti
František Saleský Bauer	František Saleský Bauer	http://fr.dbpedia.org/resource/František_Saleský_Bauer	http://dbpedia.org/resource/Franziskus_von_Sales_Bauer
Francis Bauer	František Saleský Bauer	http://fr.dbpedia.org/resource/František_Saleský_Bauer	http://dbpedia.org/resource/Franziskus_von_Sales_Bauer
François Nourissier	François Nourissier	http://fr.dbpedia.org/resource/François_Nourissier	http://dbpedia.org/resource/François_Nourissier
Francois Nourissier	François Nourissier	http://fr.dbpedia.org/resource/François_Nourissier	http://dbpedia.org/resource/François_Nourissier
Fabien Raddas	Fabien Raddas	http://fr.dbpedia.org/resource/Fabien_Raddas	http://dbpedia.org/resource/Fabien_Raddas
François Podetti	François Podetti	http://fr.dbpedia.org/resource/François_Podetti
Frederik Sørensen	Frederik Sørensen	http://fr.dbpedia.org/resource/Frederik_Sørensen	http://dbpedia.org/resource/Frederik_Sørensen
Franz Planer	Franz Planer	http://fr.dbpedia.org/resource/Franz_Planer	http://dbpedia.org/resource/Franz_Planer
Frank F. Planer	Franz Planer	http://fr.dbpedia.org/resource/Franz_Planer	http://dbpedia.org/resource/Franz_Planer
Frank Planer	Franz Planer	http://fr.dbpedia.org/resource/Franz_Planer	http://dbpedia.org/resource/Franz_Planer
Franz F. Planer	Franz Planer	http://fr.dbpedia.org/resource/Franz_Planer	http://dbpedia.org/resource/Franz_Planer
Filippo Belforti	Filippo Belforti	http://fr.dbpedia.org/resource/Filippo_Belforti
Frédéric Désiré Hillemacher	Frédéric Désiré Hillemacher	http://fr.dbpedia.org/resource/Frédéric_Désiré_Hillemacher
Frédéric Cottier	Frédéric Cottier	http://fr.dbpedia.org/resource/Frédéric_Cottier	http://dbpedia.org/resource/Frédéric_Cottier
Frank Eddolls	Frank Eddolls	http://fr.dbpedia.org/resource/Frank_Eddolls	http://dbpedia.org/resource/Frank_Eddolls
Friedrich Schulz	Friedrich Schulz	http://fr.dbpedia.org/resource/Friedrich_Schulz	http://dbpedia.org/resource/Friedrich_Schulz
Fida Mohammad Khan	Fida Mohammad Khan	http://fr.dbpedia.org/resource/Fida_Mohammad_Khan	http://dbpedia.org/resource/Fida_Mohammad_Khan
Frank Vander linden	Frank Vander linden	http://fr.dbpedia.org/resource/Frank_Vander_linden
Fabio Santos Romeu	Fabio Santos Romeu	http://fr.dbpedia.org/resource/Fabio_Santos_Romeu	http://dbpedia.org/resource/Fábio_Santos_Romeu
Fábio Santos Romeu	Fabio Santos Romeu	http://fr.dbpedia.org/resource/Fabio_Santos_Romeu	http://dbpedia.org/resource/Fábio_Santos_Romeu
Fûhaku Tessenji	Fûhaku Tessenji	http://fr.dbpedia.org/resource/Fûhaku_Tessenji
Françoise Briand	Françoise Briand	http://fr.dbpedia.org/resource/Françoise_Briand
Fanny Joly	Fanny Joly	http://fr.dbpedia.org/resource/Fanny_Joly
Floyd Jackman	Floyd Jackman	http://fr.dbpedia.org/resource/Floyd_Jackman
Fiodor Rostoptchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Fedor Rostoptchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Fedor Vassilievitch Rostopchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Fiodor Rostopchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Fédor Rostopchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Fédor Rostoptchine	Fiodor Rostoptchine	http://fr.dbpedia.org/resource/Fiodor_Rostoptchine	http://dbpedia.org/resource/Fyodor_Rostopchin
Frank Gray	Frank Gray	http://fr.dbpedia.org/resource/Frank_Gray	http://dbpedia.org/resource/Frank_Gray
François Bellugou	François Bellugou	http://fr.dbpedia.org/resource/François_Bellugou	http://dbpedia.org/resource/François_Bellugou
François Antoine Teste	François Antoine Teste	http://fr.dbpedia.org/resource/François_Antoine_Teste	http://dbpedia.org/resource/François_Antoine_Teste
Francois Antoine Teste	François Antoine Teste	http://fr.dbpedia.org/resource/François_Antoine_Teste	http://dbpedia.org/resource/François_Antoine_Teste
François-Antoine Teste	François Antoine Teste	http://fr.dbpedia.org/resource/François_Antoine_Teste	http://dbpedia.org/resource/François_Antoine_Teste
Felipe Zetter	Felipe Zetter	http://fr.dbpedia.org/resource/Felipe_Zetter	http://dbpedia.org/resource/Felipe_Zetter
Francesco Baiano	Francesco Baiano	http://fr.dbpedia.org/resource/Francesco_Baiano	http://dbpedia.org/resource/Francesco_Baiano
Franz von Thun und Hohenstein	Franz von Thun und Hohenstein	http://fr.dbpedia.org/resource/Franz_von_Thun_und_Hohenstein	http://dbpedia.org/resource/Franz,_Prince_of_Thun_and_Hohenstein
Frédérik Beaubien	Frédérik Beaubien	http://fr.dbpedia.org/resource/Frédérik_Beaubien	http://dbpedia.org/resource/Frederik_Beaubien
