Urby Emanuelson	Urby Emanuelson	http://fr.dbpedia.org/resource/Urby_Emanuelson	http://dbpedia.org/resource/Urby_Emanuelson
Uroš Kovačević	Uroš Kovačević	http://fr.dbpedia.org/resource/Uroš_Kovačević	http://dbpedia.org/resource/Uroš_Kovačević
Urs Imboden	Urs Imboden	http://fr.dbpedia.org/resource/Urs_Imboden	http://dbpedia.org/resource/Urs_Imboden
Ulrike Holzner	Ulrike Holzner	http://fr.dbpedia.org/resource/Ulrike_Holzner	http://dbpedia.org/resource/Ulrike_Holzner
Udo Hempel	Udo Hempel	http://fr.dbpedia.org/resource/Udo_Hempel	http://dbpedia.org/resource/Udo_Hempel
Unai Emery	Unai Emery	http://fr.dbpedia.org/resource/Unai_Emery	http://dbpedia.org/resource/Unai_Emery
Uta Franz	Uta Franz	http://fr.dbpedia.org/resource/Uta_Franz
Ugo Foscolo	Ugo Foscolo	http://fr.dbpedia.org/resource/Ugo_Foscolo	http://dbpedia.org/resource/Ugo_Foscolo
Didimo Chierico	Ugo Foscolo	http://fr.dbpedia.org/resource/Ugo_Foscolo	http://dbpedia.org/resource/Ugo_Foscolo
Niccolò Ugo Foscolo	Ugo Foscolo	http://fr.dbpedia.org/resource/Ugo_Foscolo	http://dbpedia.org/resource/Ugo_Foscolo
Ultramarines (comics)	Ultramarines (comics)	http://fr.dbpedia.org/resource/Ultramarines_(comics)	http://dbpedia.org/resource/International_Ultramarine_Corps
Ultramarines	Ultramarines (comics)	http://fr.dbpedia.org/resource/Ultramarines_(comics)	http://dbpedia.org/resource/International_Ultramarine_Corps
Ulla Jacobsson	Ulla Jacobsson	http://fr.dbpedia.org/resource/Ulla_Jacobsson	http://dbpedia.org/resource/Ulla_Jacobsson
Ulf Nilsson	Ulf Nilsson	http://fr.dbpedia.org/resource/Ulf_Nilsson	http://dbpedia.org/resource/Ulf_Nilsson_(ice_hockey)
Ulrich Lehmann (équitation)	Ulrich Lehmann (équitation)	http://fr.dbpedia.org/resource/Ulrich_Lehmann_(équitation)	http://dbpedia.org/resource/Ulrich_Lehmann
Ustaritz Aldekoaotalora	Ustaritz Aldekoaotalora	http://fr.dbpedia.org/resource/Ustaritz_Aldekoaotalora	http://dbpedia.org/resource/Ustaritz_Aldekoaotalora
Ustaritz Aldekoaotalora Astarloa	Ustaritz Aldekoaotalora	http://fr.dbpedia.org/resource/Ustaritz_Aldekoaotalora	http://dbpedia.org/resource/Ustaritz_Aldekoaotalora
Ustaritz Astarloa	Ustaritz Aldekoaotalora	http://fr.dbpedia.org/resource/Ustaritz_Aldekoaotalora	http://dbpedia.org/resource/Ustaritz_Aldekoaotalora
U-God	U God	http://fr.dbpedia.org/resource/U-God	http://dbpedia.org/resource/U-God
Lamont Hawkins	U God	http://fr.dbpedia.org/resource/U-God	http://dbpedia.org/resource/U-God
U-god	U God	http://fr.dbpedia.org/resource/U-God	http://dbpedia.org/resource/U-God
Ulises Poirier	Ulises Poirier	http://fr.dbpedia.org/resource/Ulises_Poirier	http://dbpedia.org/resource/Ulises_Poirier
Uladzimir Ignatik	Uladzimir Ignatik	http://fr.dbpedia.org/resource/Uladzimir_Ignatik	http://dbpedia.org/resource/Uladzimir_Ignatik
Urbain-René de Hercé	Urbain René de Hercé	http://fr.dbpedia.org/resource/Urbain-René_de_Hercé
Urbain-Rene de Herce	Urbain René de Hercé	http://fr.dbpedia.org/resource/Urbain-René_de_Hercé
Urbain-rené de hercé	Urbain René de Hercé	http://fr.dbpedia.org/resource/Urbain-René_de_Hercé
Ugo Poletti	Ugo Poletti	http://fr.dbpedia.org/resource/Ugo_Poletti	http://dbpedia.org/resource/Ugo_Poletti
Ulrike Grässler	Ulrike Grässler	http://fr.dbpedia.org/resource/Ulrike_Grässler	http://dbpedia.org/resource/Ulrike_Gräßler
Ulrike Graessler	Ulrike Grässler	http://fr.dbpedia.org/resource/Ulrike_Grässler	http://dbpedia.org/resource/Ulrike_Gräßler
Ulrike Gräßler	Ulrike Grässler	http://fr.dbpedia.org/resource/Ulrike_Grässler	http://dbpedia.org/resource/Ulrike_Gräßler
Ugo Colombo	Ugo Colombo	http://fr.dbpedia.org/resource/Ugo_Colombo	http://dbpedia.org/resource/Ugo_Colombo_(cyclist)
Udo Lindenberg	Udo Lindenberg	http://fr.dbpedia.org/resource/Udo_Lindenberg	http://dbpedia.org/resource/Udo_Lindenberg
